"Unemployed, six months or more_y","Unemployed, six months or more_<i>Data: U.S. Bureau of Labor Statistics, Source: <a href=""http://qz.com/187731/the-us-government-is-suddenly-set-to-tackle-long-term-unemployment/"">Quartz</a></i>","Unemployed, 15-26 weeks_y","Unemployed, 15-26 weeks_<i>Data: U.S. Bureau of Labor Statistics, Source: <a href=""http://qz.com/187731/the-us-government-is-suddenly-set-to-tackle-long-term-unemployment/"">Quartz</a></i>","Unemployed, 5-14 weeks_y","Unemployed, 5-14 weeks_<i>Data: U.S. Bureau of Labor Statistics, Source: <a href=""http://qz.com/187731/the-us-government-is-suddenly-set-to-tackle-long-term-unemployment/"">Quartz</a></i>"
104.47439353099757,2007-12-26,97.035040431267,2008-1-10,101.07816711590287,2007-12-17
106.46900269541798,2008-1-11,96.3611859838274,2008-1-26,102.29110512129382,2008-1-2
105.66037735849054,2008-1-28,95.41778975741218,2008-2-12,102.69541778975746,2008-1-19
103.70619946091625,2008-2-10,97.57412398921852,2008-2-29,101.48247978436666,2008-2-4
101.07816711590314,2008-3-17,100.80862533692695,2008-3-17,102.56064690026969,2008-2-21
102.15633423180574,2008-4-2,103.23450134770884,2008-3-29,105.9299191374663,2008-3-9
104.5148247978437,2008-4-16,113.47708894878713,2008-4-18,108.49056603773596,2008-3-26
114.42048517520189,2008-5-4,109.56873315363865,2008-6-3,109.02964959568708,2008-4-11
118.73315363881377,2008-5-21,115.90296495956879,2008-6-20,107.14285714285701,2008-4-28
119.35309973045815,2008-6-7,120.21563342318025,2008-7-6,106.87331536388129,2008-5-14
121.90026954177888,2008-6-21,126.54986522911034,2008-7-24,115.63342318059316,2008-5-30
128.03234501347728,2008-7-14,131.13207547169796,2008-8-11,125.0673854447437,2008-6-16
134.09703504043105,2008-7-31,133.8274932614554,2008-8-27,123.85444743935305,2008-7-2
140.5660377358489,2008-8-17,136.2533692722374,2008-9-13,120.21563342318026,2008-7-18
147.30458221024267,2008-9-4,140.02695417789747,2008-9-30,118.3288409703505,2008-8-3
154.3319214478247,2008-9-22,145.14824797843676,2008-10-17,118.59838274932585,2008-8-20
162.53369272237188,2008-10-7,146.3611859838273,2008-11-3,124.25876010781693,2008-9-6
171.56334231805937,2008-10-24,147.16981132075452,2008-11-20,128.43665768194086,2008-9-23
170.88948787062,2008-11-9,155.92991913746607,2008-12-7,128.97574123989213,2008-10-10
170.70979335130298,2008-11-26,166.03773584905647,2008-12-25,131.9407008086254,2008-10-27
181.581311769991,2008-12-10,172.10242587601067,2009-1-12,136.79245283018872,2008-11-13
193.14593762033132,2008-12-22,178.93723527146716,2009-1-28,141.50943396226435,2008-11-30
200.4043126684635,2009-1-7,189.08355795148262,2009-2-9,147.03504043126674,2008-12-17
204.85175202156353,2009-1-24,199.5687331536389,2009-2-18,150.94339622641485,2009-1-3
212.80323450134767,2009-2-10,210.08086253369257,2009-3-3,154.98652291105128,2009-1-20
221.83288409703516,2009-2-24,218.59838274932613,2009-3-19,160.91644204851764,2009-2-7
231.8059299191372,2009-3-11,224.25876010781676,2009-4-5,167.11590296495953,2009-2-24
241.89449364651512,2009-3-27,225.067385444744,2009-4-22,171.29380053908378,2009-3-13
252.02156334231807,2009-4-8,230.34270311898345,2009-5-8,174.6630727762805,2009-3-30
261.72506738544485,2009-4-17,240.5660377358488,2009-5-18,175.20215633423194,2009-4-15
272.6222564497495,2009-4-28,250.13477088948798,2009-5-27,178.8409703504042,2009-5-2
283.018867924528,2009-5-7,260.242587601078,2009-6-6,185.57951482479788,2009-5-20
292.1832884097033,2009-5-23,270.3504043126685,2009-6-15,182.47978436657695,2009-6-5
301.0396611474778,2009-6-10,280.05390835579516,2009-6-25,172.77628032345007,2009-6-20
311.8867924528303,2009-6-25,289.81132075471703,2009-7-7,163.34231805929937,2009-7-3
323.95552560646905,2009-7-9,286.2533692722371,2009-7-16,153.23450134770866,2009-7-15
337.54331921447834,2009-7-21,274.66307277628033,2009-7-21,154.85175202156327,2009-8-1
349.16442048517507,2009-7-31,264.2183288409702,2009-7-24,163.34231805929903,2009-8-18
359.7035040431266,2009-8-9,251.88679245282998,2009-8-2,163.4770889487871,2009-9-4
369.54177897574107,2009-8-17,243.39622641509416,2009-8-18,159.9730458221025,2009-9-20
376.5498652291107,2009-9-2,239.4878706199462,2009-9-3,155.1212938005391,2009-10-6
382.47978436657667,2009-9-20,244.07008086253362,2009-9-20,150.40431266846372,2009-10-22
393.39622641509425,2009-10-3,249.19137466307265,2009-10-7,148.1132075471696,2009-11-7
405.5256064690027,2009-10-16,253.5040431266846,2009-10-24,146.63072776280308,2009-11-23
417.1159029649595,2009-10-30,253.0997304582211,2009-11-10,146.36118598382743,2009-12-10
423.85444743935324,2009-11-16,245.9568733153636,2009-11-25,145.4177897574123,2009-12-26
432.0754716981131,2009-12-4,239.48787061994628,2009-12-11,143.80053908355785,2010-1-11
441.0473623411631,2009-12-21,233.28840970350382,2009-12-27,143.12668463611868,2010-1-28
450.67385444743934,2010-1-5,226.81940700808636,2010-1-11,143.12668463611863,2010-2-13
459.83827493261475,2010-1-23,221.15902964959548,2010-1-27,141.91374663072767,2010-3-2
468.3288409703505,2010-2-10,226.81940700808613,2010-2-13,139.08355795148233,2010-3-18
476.68463611859823,2010-2-27,232.88409703504036,2010-3-3,135.04043126684653,2010-4-3
475.20215633423186,2010-3-16,224.63611859838275,2010-3-17,131.13207547169822,2010-4-19
470.1578744705429,2010-4-1,214.55525606469,2010-3-30,131.40161725067387,2010-5-5
478.8679245283018,2010-4-17,207.0080862533694,2010-4-15,132.47978436657675,2010-5-22
492.1062764728533,2010-4-30,200.67385444743942,2010-5-1,133.15363881401615,2010-6-7
502.69541778975747,2010-5-16,195.28301886792434,2010-5-16,132.6145552560648,2010-6-24
509.9730458221022,2010-6-2,192.8571428571428,2010-6-2,128.70619946091648,2010-7-10
508.89487870619945,2010-6-19,194.87870619946074,2010-6-18,132.6145552560647,2010-7-25
503.7735849056604,2010-7-5,193.93530997304595,2010-7-5,142.31805929919142,2010-8-10
502.021563342318,2010-7-21,190.56603773584885,2010-7-21,147.5741239892183,2010-8-25
